BIÊN BẢN NGHIỆM THU KIÊM YÊU CẦU CẬP NHẬT HỆ THỐNG (NHSV - HỆ THỐNG PHÁI SINH WTS)																	
		Tester/BA	CS	IT	DVTC												
	Tổng số case test	524	524	0	0												
Test result	Passed	262	290	288	0												
	Failed	4	12	12	0												
	N/A	258	0	218	0												
STT	Chức năng	Summary (Kịch bản kiểm thử)	Tiền điều kiện	Action (Các bước thực hiện)	Expect result (Kết quả mong muốn)	Ghi chú	Phong ban Test	KẾT QUẢ TEST UAT			KẾT QUẢ TEST Pilot						
								Tester	CS	DVTC	Tester	CS	DVTC				
1. Thị trường																	
Bảng giá phái sinh																	
TC_32				Bước 1: Đăng nhập thành công MTS Bước 2: Chọn chức năng Phái sinh >> Giá hiện tại Bước 3: Nhập mã HĐTL và bấm Enter Bước 4: Chọn Tuần Bước 5: Kiểm tra trường Giá mở cửa	Bước 5: Giá mở cửa ngày GD đầu tiên trong tuần		DVKH	PASS	PASS								
TC_33				Bước 1: Đăng nhập thành công MTS Bước 2: Chọn chức năng Phái sinh >> Giá hiện tại Bước 3: Nhập mã HĐTL và bấm Enter Bước 4: Chọn Tuần Bước 5: Kiểm tra trường Giá cao nhất	Bước 5: Giá cao nhất trong tuần		DVKH	PASS	PASS								
TC_34				Bước 1: Đăng nhập thành công MTS Bước 2: Chọn chức năng Phái sinh >> Giá hiện tại Bước 3: Nhập mã HĐTL và bấm Enter Bước 4: Chọn Tuần Bước 5: Kiểm tra trường Giá thấp nhất	Bước 5: Giá thấp nhất trong tuần		DVKH	PASS	PASS								
TC_35				Bước 1: Đăng nhập thành công MTS Bước 2: Chọn chức năng Phái sinh >> Giá hiện tại Bước 3: Nhập mã HĐTL và bấm Enter Bước 4: Chọn Tuần Bước 5: Kiểm tra trường +/-	Bước 5: = Giá đóng cửa tuần - giá TC của ngày GD đầu tuần. Có đổ màu dựa trên chênh lệch so với giá TC		DVKH	PASS	PASS								
TC_36				Bước 1: Đăng nhập thành công MTS Bước 2: Chọn chức năng Phái sinh >> Giá hiện tại Bước 3: Nhập mã HĐTL và bấm Enter Bước 4: Chọn Tuần Bước 5: Kiểm tra trường Tỷ lệ %	Bước 5: = (Giá đóng cửa tuần - giá TC của ngày GD đầu tuần)/ Giá tham chiếu ngày GD đầu tuần. Có đổ màu so với 0%		DVKH	PASS	PASS								
TC_37				Bước 1: Đăng nhập thành công MTS Bước 2: Chọn chức năng Phái sinh >> Giá hiện tại Bước 3: Nhập mã HĐTL và bấm Enter Bước 4: Chọn Tuần Bước 5: Kiểm tra trường KLGD	Bước 5: Tổng KLGD của mã HĐ trong tuần 		DVKH	PASS	PASS								
TC_38				Bước 1: Đăng nhập thành công MTS Bước 2: Chọn chức năng Phái sinh >> Giá hiện tại Bước 3: Nhập mã HĐTL và bấm Enter Bước 4: Chọn Tuần Bước 5: Kiểm tra trường GTGD	Bước 5: Tổng GTGD của mã HĐ trong tuần 		DVKH	PASS	PASS								
TC_39			Kiểm tra dữ liệu theo Tháng	Bước 1: Đăng nhập thành công MTS Bước 2: Chọn chức năng Phái sinh >> Giá hiện tại Bước 3: Nhập mã HĐTL và bấm Enter Bước 4: Chọn Tháng Bước 5: Kiểm tra trường Ngày	Bước 5: Là ngày đầu tiên GD của mã HĐ với Tháng đầu. Các Tháng sau là ngày thứ 2 đầu Tháng		DVKH	PASS	PASS								
TC_40				Bước 1: Đăng nhập thành công MTS Bước 2: Chọn chức năng Phái sinh >> Giá hiện tại Bước 3: Nhập mã HĐTL và bấm Enter Bước 4: Chọn Tháng Bước 5: Kiểm tra trường Số ngày	Bước 5: Số ngày GD trong Tháng		DVKH	PASS	PASS								
TC_41				Bước 1: Đăng nhập thành công MTS Bước 2: Chọn chức năng Phái sinh >> Giá hiện tại Bước 3: Nhập mã HĐTL và bấm Enter Bước 4: Chọn Tháng Bước 5: Kiểm tra trường Giá hiện tại	Bước 5: Giá đóng cửa phiên GD ngày cuối cùng của Tháng		DVKH	PASS	PASS								
